State,Department,Website,District,Block,portal_value_id
Maharashtra,"Deputy Director Of Land Record, Amravati Region, Amravati",RTI_Online_Maharashtra,,,319
Maharashtra,Deputy Director of Land Record Nagpur,RTI_Online_Maharashtra,,,325
Maharashtra,"Deputy Director of Land Record, Pune Region Pune",RTI_Online_Maharashtra,,,287
Maharashtra,"Deputy Director of Town Planning, Greater Mumbai",RTI_Online_Maharashtra,,,281
Maharashtra,"Deputy Director of Town Planning, T&amp;T, Chhatrapati SambhajiNagar",RTI_Online_Maharashtra,,,284
Maharashtra,"Deputy Director of Town Planning, Traffic &amp; Transportation, Pune",RTI_Online_Maharashtra,,,278
Maharashtra,"Deputy Director, Industrial Safety and Health, Ahilyanagar",RTI_Online_Maharashtra,,,252
Maharashtra,"Deputy Director, Industrial Safety and Health, Akola",RTI_Online_Maharashtra,,,263
Maharashtra,"Deputy Director, Industrial Safety and Health, Amravati",RTI_Online_Maharashtra,,,247
Maharashtra,"Deputy Director, Industrial Safety and Health, Bhandara",RTI_Online_Maharashtra,,,261
Maharashtra,"Deputy Director, Industrial Safety and Health, Chandrapur",RTI_Online_Maharashtra,,,262
Maharashtra,"Deputy Director, Industrial Safety and Health, Dhule",RTI_Online_Maharashtra,,,251
Maharashtra,"Deputy Director, Industrial Safety and Health, Jalgaon",RTI_Online_Maharashtra,,,250
Maharashtra,"Deputy Director, Industrial Safety and Health, Nanded",RTI_Online_Maharashtra,,,245
Maharashtra,"Deputy Director, Industrial Safety and Health, Ratnagiri",RTI_Online_Maharashtra,,,255
Maharashtra,"Deputy Director, Industrial Safety and Health, Sangli",RTI_Online_Maharashtra,,,254
Maharashtra,"Deputy Director, Industrial Safety and Health, Solapur",RTI_Online_Maharashtra,,,259
Maharashtra,Dhule Municipal Corporation,RTI_Online_Maharashtra,Dhule,NA,153
Maharashtra,Directorate General of Information and Public Relations,RTI_Online_Maharashtra,,,223
Maharashtra,"Directorate of Industrial Safety and Health, Mumbai",RTI_Online_Maharashtra,,,239
Maharashtra,"Directorate of Town Planning, Head Office, Pune",RTI_Online_Maharashtra,,,275
Maharashtra,"District Deputy Registrar, Co Institute 2, Mumbai",RTI_Online_Maharashtra,,,227
Maharashtra,"District Deputy Registrar, Co Institute 3, Mumbai",RTI_Online_Maharashtra,,,228
Maharashtra,"District Deputy Registrar, Co Institute 4, Mumbai",RTI_Online_Maharashtra,,,229
Maharashtra,"District Deputy Registrar, Co-operative Societies, Thane Division",RTI_Online_Maharashtra,,,231
Maharashtra,District Superintendent Of Land Record Ahilyanagar No -1 Ahilyanagar,RTI_Online_Maharashtra,,,306
Maharashtra,District Superintendent Of Land Record Ahilyanagar No -2 Shirdi,RTI_Online_Maharashtra,,,335
Maharashtra,District Superintendent Of Land Record Akola,RTI_Online_Maharashtra,,,321
Maharashtra,District Superintendent Of Land Record Amravati,RTI_Online_Maharashtra,,,320
Maharashtra,District Superintendent Of Land Record Beed,RTI_Online_Maharashtra,,,313
Maharashtra,District Superintendent Of Land Record Buldana,RTI_Online_Maharashtra,,,322
Maharashtra,District Superintendent Of Land Record Dharashiv,RTI_Online_Maharashtra,,,318
Maharashtra,District Superintendent Of Land Record Dhule,RTI_Online_Maharashtra,,,303
Maharashtra,District Superintendent Of Land Record Hingoli,RTI_Online_Maharashtra,,,317
Maharashtra,District Superintendent Of Land Record Jalgaon,RTI_Online_Maharashtra,,,305
Maharashtra,District Superintendent Of Land Record Latur,RTI_Online_Maharashtra,,,316
Maharashtra,District Superintendent Of Land Record Nandurbar,RTI_Online_Maharashtra,,,304
Maharashtra,District Superintendent Of Land Record Nashik No -1,RTI_Online_Maharashtra,,,302
Maharashtra,District Superintendent Of Land Record Nashik No -2 Malegaon,RTI_Online_Maharashtra,,,334
